ESTACION,PRODUCTO,FECHA,Ventas Acumuladas,Ventas Acumuladas $,Volumen Total Vendido,Precio Cartel,Comision $,COMISION
MERC GUAYMALLEN,GO,2023-05-01,5053,1098635,5053,217,159388,31
MERC GUAYMALLEN,GO,2023-05-02,21900,3662589,16847,217,531361,31
MERC GUAYMALLEN,GO,2023-05-03,25107,697245,3207,217,101155,31
MERC GUAYMALLEN,GO,2023-05-04,34252,1988020,9144,217,288418,31
MERC GUAYMALLEN,GO,2023-05-05,44903,2315492,10650,217,335927,31
MERC GUAYMALLEN,GO,2023-05-06,52840,1725466,7936,217,250327,31
MERC GUAYMALLEN,GO,2023-05-07,57162,939620,4322,217,136318,31
MERC GUAYMALLEN,GO,2023-05-08,70065,2805173,12903,217,406969,31
MERC GUAYMALLEN,GO,2023-05-09,76863,1477772,6797,217,214392,31
MERC GUAYMALLEN,GO,2023-05-10,84766,1718114,7903,217,249260,31
MERC GUAYMALLEN,GO,2023-05-11,91908,1552694,7142,217,225262,31
MERC GUAYMALLEN,GO,2023-05-12,102697,2345550,10789,217,340288,31
MERC GUAYMALLEN,GO,2023-05-13,111164,1840875,8467,217,267070,31
MERC GUAYMALLEN,GO,2023-05-14,115215,880572,4050,217,127751,31
MERC GUAYMALLEN,GO,2023-05-15,125700,2279436,10484,217,330696,31
MERC GUAYMALLEN,GO,2023-05-16,136120,2265358,10420,217,328654,31
MERC GUAYMALLEN,GO,2023-05-17,143788,1725192,7667,225,300106,39
MERC GUAYMALLEN,GO,2023-05-18,151316,1693813,7528,225,294648,39
MERC GUAYMALLEN,GO,2023-05-19,162834,2591534,11517,225,346228,30
MERC GUAYMALLEN,GO,2023-05-20,169175,1426873,6341,225,190630,30
MERC GUAYMALLEN,GO,2023-05-21,172377,720450,3202,225,96252,30
MERC GUAYMALLEN,GO,2023-05-22,183972,2608825,11594,225,348539,30
MERC GUAYMALLEN,GO,2023-05-23,190620,1495746,6647,225,199831,30
MERC GUAYMALLEN,GO,2023-05-24,197863,1629715,7243,225,217729,30
MERC GUAYMALLEN,GO,2023-05-25,200500,593401,2637,225,79278,30
MERC GUAYMALLEN,GO,2023-05-26,208630,1829200,8129,225,244381,30
MERC GUAYMALLEN,GO,2023-05-27,217608,2020020,8977,225,269874,30
MERC GUAYMALLEN,GO,2023-05-28,221825,948865,4217,225,126768,30
MERC GUAYMALLEN,GO,2023-05-29,228559,1515084,6733,225,202415,30
MERC GUAYMALLEN,GO,2023-05-30,238696,2280829,10137,225,304718,30
MERC GUAYMALLEN,GO,2023-05-31,245397,1507833,6701,225,201446,30
MERC GUAYMALLEN,GO,2023-06-01,10082,2268571,10082,225,303081,30
MERC GUAYMALLEN,GO,2023-06-02,21441,2555730,11358,225,341445,30
MERC GUAYMALLEN,GO,2023-06-03,27747,1418809,6305,225,189552,30
MERC GUAYMALLEN,GO,2023-06-04,32358,1037515,4611,225,138612,30
MERC GUAYMALLEN,GO,2023-06-05,44773,2793406,12415,225,373199,30
MERC GUAYMALLEN,GO,2023-06-06,53434,1948749,8661,225,260352,30
MERC GUAYMALLEN,GO,2023-06-07,60669,1627879,7235,225,217484,30
MERC GUAYMALLEN,GO,2023-06-08,69078,1892022,8408,225,252774,30
MERC GUAYMALLEN,GO,2023-06-09,76998,1781975,7919,225,238071,30
MERC GUAYMALLEN,GO,2023-06-10,81865,1095178,4867,225,146315,30
MERC GUAYMALLEN,GO,2023-06-11,88371,1463757,6505,225,195558,30
MERC GUAYMALLEN,GO,2023-06-12,97464,2045814,9092,225,273320,30
MERC GUAYMALLEN,GO,2023-06-13,107461,2249433,9997,225,300524,30
MERC GUAYMALLEN,GO,2023-06-14,118662,2520324,11201,225,336715,30
MERC GUAYMALLEN,GO,2023-06-15,124200,1246023,5537,225,166468,30
MERC GUAYMALLEN,GO,2023-06-16,134528,2323748,10327,225,310452,30
MERC GUAYMALLEN,GO,2023-06-17,140896,1538537,6368,241,297136,46
MERC GUAYMALLEN,GO,2023-06-18,145096,1014664,4199,241,195961,46
MERC GUAYMALLEN,GO,2023-06-19,154850,2356667,9754,241,455141,46
MERC GUAYMALLEN,GO,2023-06-20,158020,765705,3169,241,147880,46
MERC GUAYMALLEN,GO,2023-06-21,169066,2668889,11046,241,387408,35
MERC GUAYMALLEN,GO,2023-06-22,175045,1444388,5978,241,209663,35
MERC GUAYMALLEN,GO,2023-06-23,183895,2110648,8849,238,282924,31
MERC GUAYMALLEN,GO,2023-06-24,190491,1573265,6596,238,210890,31
MERC GUAYMALLEN,GO,2023-06-25,194789,1025070,4297,238,137406,31
MERC GUAYMALLEN,GO,2023-06-26,204496,2315050,9706,238,310323,31
MERC GUAYMALLEN,GO,2023-06-27,211751,1730336,7255,238,231944,31
MERC GUAYMALLEN,GO,2023-06-28,220831,2165632,9080,238,290294,31
MERC GUAYMALLEN,GO,2023-06-29,229284,2016047,8453,238,270243,31
MERC GUAYMALLEN,GO,2023-06-30,235811,1556656,6526,238,208663,31
MERC GUAYMALLEN,GO,2023-07-01,4461,1063991,4461,238,142623,31
MERC GUAYMALLEN,GO,2023-07-02,11319,1635764,6858,238,219267,31
MERC GUAYMALLEN,GO,2023-07-03,20049,2082100,8729,238,279097,31
MERC GUAYMALLEN,GO,2023-07-04,29024,2140444,8974,238,286918,31
MERC GUAYMALLEN,GO,2023-07-05,38083,2160690,9059,238,289632,31
MERC GUAYMALLEN,GO,2023-07-06,45992,1886317,7909,238,252853,31
MERC GUAYMALLEN,GO,2023-07-07,52545,1562754,6552,238,209481,31
MERC GUAYMALLEN,GO,2023-07-08,60590,2007294,8045,249,345705,42
MERC GUAYMALLEN,GO,2023-07-09,65352,1188166,4762,249,204631,42
MERC GUAYMALLEN,GO,2023-07-10,76469,2773634,11116,249,477687,42
MERC GUAYMALLEN,GO,2023-07-11,82477,1499010,6008,249,202832,33
MERC GUAYMALLEN,GO,2023-07-12,90678,2046221,8201,249,276875,33
MERC GUAYMALLEN,GO,2023-07-13,99867,2292538,9188,249,310204,33
MERC GUAYMALLEN,GO,2023-07-14,107520,1909391,7652,249,258360,33
MERC GUAYMALLEN,GO,2023-07-15,116165,2156927,8645,249,291855,33
MERC GUAYMALLEN,GO,2023-07-16,121916,1434867,5750,249,194152,33
MERC GUAYMALLEN,GO,2023-07-17,134859,3229288,12943,249,436957,33
MERC GUAYMALLEN,GO,2023-07-18,142669,1948647,7810,249,263672,33
MERC GUAYMALLEN,GO,2023-07-19,151135,2112366,8466,249,285825,33
MERC GUAYMALLEN,GO,2023-07-20,157970,1705317,6834,249,230747,33
MERC GUAYMALLEN,GO,2023-07-21,167803,2453296,9832,249,331957,33
MERC GUAYMALLEN,GO,2023-07-22,174941,1780766,7137,249,240956,33
MERC GUAYMALLEN,GO,2023-07-23,177958,752811,3017,249,101863,33
MERC GUAYMALLEN,GO,2023-07-24,188161,2545568,10202,249,344442,33
MERC GUAYMALLEN,GO,2023-07-25,196294,2029383,8133,249,274597,33
MERC GUAYMALLEN,GO,2023-07-26,201876,1392556,5581,249,188427,33
MERC GUAYMALLEN,GO,2023-07-27,210347,2113596,8471,249,285992,33
MERC GUAYMALLEN,GO,2023-07-28,220527,2539967,10180,249,343684,33
MERC GUAYMALLEN,GO,2023-07-29,228257,1928615,7729,249,260962,33
MERC GUAYMALLEN,GO,2023-07-30,233847,1394605,5589,249,188704,33
MERC GUAYMALLEN,GO,2023-07-31,238562,1176479,4715,249,159190,33
MERC GUAYMALLEN,GO,2023-08-01,6741,1682019,6741,249,229550,34
MERC GUAYMALLEN,GO,2023-08-02,14890,2121986,8148,260,366295,44
MERC GUAYMALLEN,GO,2023-08-03,21471,1713757,6581,260,230738,35
MERC GUAYMALLEN,GO,2023-08-04,29398,2064136,7926,260,277913,35
MERC GUAYMALLEN,GO,2023-08-05,34572,1347346,5174,260,181405,35
MERC GUAYMALLEN,GO,2023-08-06,40271,1483980,5698,260,199801,35
MERC GUAYMALLEN,GO,2023-08-07,45745,1425325,5473,260,191904,35
MERC GUAYMALLEN,GO,2023-08-08,54214,2205463,8469,260,296941,35
MERC GUAYMALLEN,GO,2023-08-09,62545,2169460,8331,260,292093,35
MERC GUAYMALLEN,GO,2023-08-10,69763,1879343,7217,260,253032,35
MERCADO 2,GO,2023-05-01,19429,4224038,19429,217,612815,31
MERCADO 2,GO,2023-05-03,46301,5841877,26871,217,847529,31
MERCADO 2,GO,2023-05-04,88045,9075162,41744,217,1316608,31
MERCADO 2,GO,2023-05-05,129369,8983950,41324,217,1303375,31
MERCADO 2,GO,2023-05-06,178790,10743923,49420,217,1558709,31
MERCADO 2,GO,2023-05-07,188077,2019059,9287,217,292921,31
MERCADO 2,GO,2023-05-08,215413,5942913,27336,217,862187,31
MERCADO 2,GO,2023-05-09,254579,8514679,39165,217,1235294,31
MERCADO 2,GO,2023-05-10,282744,6123084,28165,217,888325,31
MERCADO 2,GO,2023-05-11,329470,10158217,46725,217,1473735,31
MERCADO 2,GO,2023-05-12,354617,5466931,25146,217,793132,31
MERCADO 2,GO,2023-05-13,388558,7378677,33940,217,1070485,31
MERCADO 2,GO,2023-05-14,415996,6173673,27438,225,1073944,39
MERCADO 2,GO,2023-05-15,456243,9055620,40247,225,1575275,39
MERCADO 2,GO,2023-05-16,484711,6188980,28468,217,897886,31
MERCADO 2,GO,2023-05-17,537008,11766764,52296,225,2046894,39
MERCADO 2,GO,2023-05-18,580865,9867753,43856,225,1716550,39
MERCADO 2,GO,2023-05-19,614854,7647509,33988,225,1021707,30
MERCADO 2,GO,2023-05-20,668045,11968026,53191,225,1598928,30
MERCADO 2,GO,2023-05-21,695421,6159644,27376,225,822928,30
MERCADO 2,GO,2023-05-22,723779,6380604,28358,225,852448,30
MERCADO 2,GO,2023-05-23,752364,6431519,28584,225,859250,30
MERCADO 2,GO,2023-05-24,785230,7394901,32866,225,987958,30
MERCADO 2,GO,2023-05-25,802727,3936863,17497,225,525964,30
MERCADO 2,GO,2023-05-26,813122,2338868,10394,225,312472,30
MERCADO 2,GO,2023-05-27,859763,10494171,46640,225,1402021,30
MERCADO 2,GO,2023-05-28,885342,5755137,25578,225,768886,30
MERCADO 2,GO,2023-05-29,914500,6560712,29158,225,876511,30
MERCADO 2,GO,2023-05-30,954656,9035010,40155,225,1207077,30
MERCADO 2,GO,2023-05-31,1000936,10413121,46280,225,1391193,30
MERCADO 2,GO,2023-06-01,52500,11812662,52500,225,1578171,30
MERCADO 2,GO,2023-06-02,106670,12188218,54169,225,1628345,30
MERCADO 2,GO,2023-06-03,162848,12639930,56177,225,1688694,30
MERCADO 2,GO,2023-06-04,176762,3130798,13914,225,418274,30
MERCADO 2,GO,2023-06-05,222279,10241271,45516,225,1368233,30
MERCADO 2,GO,2023-06-06,254612,7274907,32332,225,971927,30
MERCADO 2,GO,2023-06-07,301440,10536435,46828,225,1407667,30
MERCADO 2,GO,2023-06-08,358742,12892902,57301,225,1722491,30
MERCADO 2,GO,2023-06-09,405847,10598454,47104,225,1415953,30
MERCADO 2,GO,2023-06-10,442279,8197285,36432,225,1095157,30
MERCADO 2,GO,2023-06-11,470049,6248227,27769,225,834763,30
MERCADO 2,GO,2023-06-12,510180,9029457,40130,225,1206335,30
MERCADO 2,GO,2023-06-13,544961,7825880,34781,225,1045537,30
MERCADO 2,GO,2023-06-14,596214,11531889,51252,225,1540660,30
MERCADO 2,GO,2023-06-15,654704,13160277,58490,225,1758213,30
MERCADO 2,GO,2023-06-16,692308,8460747,37603,225,1130355,30
MERCADO 2,GO,2023-06-17,733287,9752975,40978,238,1764551,43
MERCADO 2,GO,2023-06-18,746493,3190784,13206,241,616233,46
MERCADO 2,GO,2023-06-19,767156,4992052,20662,241,964110,46
MERCADO 2,GO,2023-06-20,774610,1800987,7454,241,347823,46
MERCADO 2,GO,2023-06-21,809713,8480756,35102,241,1231043,35
MERCADO 2,GO,2023-06-22,830077,4919968,20364,241,714169,35
MERCADO 2,GO,2023-06-23,856337,6344389,26259,241,920934,35
MERCADO 2,GO,2023-06-24,882282,6268367,25945,241,909899,35
MERCADO 2,GO,2023-06-25,889631,1775458,7348,241,257720,35
MERCADO 2,GO,2023-06-26,912003,5405101,22372,241,784589,35
MERCADO 2,GO,2023-06-27,932707,5002059,20703,241,726085,35
MERCADO 2,GO,2023-06-28,950782,4367067,18075,241,633911,35
MERCADO 2,GO,2023-06-29,982365,7630375,31582,241,1107604,35
MERCADO 2,GO,2023-06-30,997463,3647604,15097,241,529476,35
MERCADO 2,GO,2023-07-01,13005,3142194,13005,241,456112,35
MERCADO 2,GO,2023-07-02,17653,1122809,4647,241,162983,35
MERCADO 2,GO,2023-07-03,35835,4392913,18182,241,637663,35
MERCADO 2,GO,2023-07-04,51568,3800916,15732,241,551730,35
MERCADO 2,GO,2023-07-05,71774,4881858,20206,241,708637,35
MERCADO 2,GO,2023-07-06,94229,5425045,22454,241,787484,35
MERCADO 2,GO,2023-07-07,118557,5877700,24328,241,853191,35
MERCADO 2,GO,2023-07-08,150406,7946300,31848,249,1368547,42
MERCADO 2,GO,2023-07-09,157007,1647121,6601,249,283674,42
MERCADO 2,GO,2023-07-10,191265,8547191,34257,249,1472035,42
MERCADO 2,GO,2023-07-11,230845,9875224,39580,249,1336222,33
MERCADO 2,GO,2023-07-12,253881,5747482,23036,249,777695,33
MERCADO 2,GO,2023-07-13,281701,6941134,27820,249,939209,33
MERCADO 2,GO,2023-07-14,326391,11150110,44689,249,1508728,33
MERCADO 2,GO,2023-07-15,366368,9974341,39977,249,1349634,33
MERCADO 2,GO,2023-07-16,384465,4515119,18096,249,610943,33
MERCADO 2,GO,2023-07-17,422662,9530166,38197,249,1289532,33
MERCADO 2,GO,2023-07-18,449768,6762942,27105,249,915097,33
MERCADO 2,GO,2023-07-19,496584,11680569,46815,249,1580505,33
MERCADO 2,GO,2023-07-20,543772,11773578,47188,249,1593090,33
MERCADO 2,GO,2023-07-21,582448,9649454,38675,249,1305673,33
MERCADO 2,GO,2023-07-22,618447,8981850,35999,249,1215339,33
MERCADO 2,GO,2023-07-23,635234,4188401,16787,249,566735,33
MERCADO 2,GO,2023-07-24,676629,10327965,41394,249,1397483,33
MERCADO 2,GO,2023-07-25,708510,7954456,31881,249,1076322,33
MERCADO 2,GO,2023-07-26,759088,12619006,50577,249,1707485,33
MERCADO 2,GO,2023-07-27,797473,9577292,38385,249,1295909,33
MERCADO 2,GO,2023-07-28,838813,10314302,41339,249,1395634,33
MERCADO 2,GO,2023-07-29,877689,9699359,38875,249,1312426,33
MERCADO 2,GO,2023-07-30,909163,7852905,31474,249,1062581,33
MERCADO 2,GO,2023-07-31,948915,9918061,39751,249,1342019,33
MERCADO 2,GO,2023-08-01,46088,11499018,46088,249,1569304,34
MERCADO 2,GO,2023-08-02,86910,10630145,40822,260,1834965,44
MERCADO 2,GO,2023-08-03,110364,6107286,23453,260,822279,35
MERCADO 2,GO,2023-08-04,149561,10206919,39197,260,1374249,35
MERCADO 2,GO,2023-08-05,180819,8139695,31258,260,1095920,35
MERCADO 2,GO,2023-08-06,212934,8362725,32114,260,1125949,35
MERCADO 2,GO,2023-08-07,230614,4603762,17679,260,619846,35
MERCADO 2,GO,2023-08-08,264906,8929780,34292,260,1202296,35
MERCADO 2,GO,2023-08-09,302699,9841310,37793,260,1325024,35
MERCADO 2,GO,2023-08-10,325936,6050886,23236,260,814685,35
SARMIENTO,GO,2023-05-01,110,24005,110,217,3482,31
SARMIENTO,GO,2023-05-02,463,76790,353,217,11140,31
SARMIENTO,GO,2023-05-03,657,42214,194,217,6124,31
SARMIENTO,GO,2023-05-04,1008,76263,350,217,11064,31
SARMIENTO,GO,2023-05-05,1671,144023,662,217,20894,31
SARMIENTO,GO,2023-05-06,1892,48206,221,217,6993,31
SARMIENTO,GO,2023-05-07,1944,11202,51,217,1625,31
SARMIENTO,GO,2023-05-08,2206,56960,262,217,8263,31
SARMIENTO,GO,2023-05-09,2855,141101,649,217,20470,31
SARMIENTO,GO,2023-05-10,3196,74157,341,217,10758,31
SARMIENTO,GO,2023-05-11,3433,51617,237,217,7488,31
SARMIENTO,GO,2023-05-12,3700,57871,266,217,8395,31
SARMIENTO,GO,2023-05-13,3936,51456,236,217,7465,31
SARMIENTO,GO,2023-05-14,4011,16241,74,217,2356,31
SARMIENTO,GO,2023-05-15,4336,70578,324,217,10239,31
SARMIENTO,GO,2023-05-16,4604,58258,267,217,8452,31
SARMIENTO,GO,2023-05-17,5085,108355,481,225,18849,39
SARMIENTO,GO,2023-05-18,5259,39078,173,225,6797,39
SARMIENTO,GO,2023-05-19,5563,68298,303,225,9124,30
SARMIENTO,GO,2023-05-20,5914,79121,351,225,10570,30
SARMIENTO,GO,2023-05-21,6022,24297,107,225,3246,30
SARMIENTO,GO,2023-05-22,6328,68877,306,225,9201,30
SARMIENTO,GO,2023-05-23,6502,39111,173,225,5225,30
SARMIENTO,GO,2023-05-24,6867,82012,364,225,10956,30
SARMIENTO,GO,2023-05-25,7025,35597,158,225,4755,30
SARMIENTO,GO,2023-05-26,7152,28687,127,225,3832,30
SARMIENTO,GO,2023-05-27,7382,51779,230,225,6917,30
SARMIENTO,GO,2023-05-28,7563,40716,180,225,5439,30
SARMIENTO,GO,2023-05-29,7855,65596,291,225,8763,30
SARMIENTO,GO,2023-05-30,8179,72913,324,225,9741,30
SARMIENTO,GO,2023-05-31,8557,85137,378,225,11374,30
SARMIENTO,GO,2023-06-01,323,72807,323,225,9727,30
SARMIENTO,GO,2023-06-02,517,43692,194,225,5837,30
SARMIENTO,GO,2023-06-03,738,49729,221,225,6643,30
SARMIENTO,GO,2023-06-04,968,51711,229,225,6908,30
SARMIENTO,GO,2023-06-05,1169,45211,200,225,6040,30
SARMIENTO,GO,2023-06-06,2326,260217,1156,225,34764,30
SARMIENTO,GO,2023-06-07,2592,59971,266,225,8012,30
SARMIENTO,GO,2023-06-08,3069,107354,477,225,14342,30
SARMIENTO,GO,2023-06-09,3258,42381,188,225,5662,30
SARMIENTO,GO,2023-06-10,3470,47697,211,225,6372,30
SARMIENTO,GO,2023-06-11,3582,25301,112,225,3380,30
SARMIENTO,GO,2023-06-12,4431,190914,848,225,25506,30
SARMIENTO,GO,2023-06-13,5604,264114,1173,225,35285,30
SARMIENTO,GO,2023-06-14,5812,46683,207,225,6236,30
SARMIENTO,GO,2023-06-15,6164,79164,351,225,10576,30
SARMIENTO,GO,2023-06-16,6388,50388,223,225,6731,30
SARMIENTO,GO,2023-06-17,6676,69672,288,241,13455,46
SARMIENTO,GO,2023-06-18,6776,24210,100,241,4675,46
SARMIENTO,GO,2023-06-19,6850,17757,73,241,3429,46
SARMIENTO,GO,2023-06-20,6868,4353,18,241,840,46
SARMIENTO,GO,2023-06-21,7088,53309,220,241,7738,35
SARMIENTO,GO,2023-06-22,7313,54253,224,241,7875,35
SARMIENTO,GO,2023-06-23,7570,62197,257,241,9028,35
SARMIENTO,GO,2023-06-24,7860,69873,289,241,10142,35
SARMIENTO,GO,2023-06-25,7968,26102,108,241,3788,35
SARMIENTO,GO,2023-06-26,8134,40170,166,241,5831,35
SARMIENTO,GO,2023-06-27,8431,71735,296,241,10412,35
SARMIENTO,GO,2023-06-28,8603,41678,172,241,6049,35
SARMIENTO,GO,2023-06-29,8970,88490,366,241,12845,35
SARMIENTO,GO,2023-06-30,9311,82574,341,241,11986,35
SARMIENTO,GO,2023-07-01,186,45017,186,241,6534,35
SARMIENTO,GO,2023-07-02,289,25015,103,241,3631,35
SARMIENTO,GO,2023-07-03,541,60757,251,241,8819,35
SARMIENTO,GO,2023-07-04,870,79636,329,241,11559,35
SARMIENTO,GO,2023-07-05,1302,104330,431,241,15144,35
SARMIENTO,GO,2023-07-06,1923,149866,620,241,21754,35
SARMIENTO,GO,2023-07-07,2411,117978,488,241,17125,35
SARMIENTO,GO,2023-07-08,2664,63203,253,249,10885,42
SARMIENTO,GO,2023-07-09,2857,48028,192,249,8271,42
SARMIENTO,GO,2023-07-10,3309,112821,452,249,19430,42
SARMIENTO,GO,2023-07-11,3545,59014,236,249,7985,33
SARMIENTO,GO,2023-07-12,4027,120211,481,249,16265,33
SARMIENTO,GO,2023-07-13,4371,85733,343,249,11600,33
SARMIENTO,GO,2023-07-14,4697,81449,326,249,11020,33
SARMIENTO,GO,2023-07-15,4918,55012,220,249,7443,33
SARMIENTO,GO,2023-07-16,4990,18008,72,249,2436,33
SARMIENTO,GO,2023-07-17,5188,49301,197,249,6670,33
SARMIENTO,GO,2023-07-18,5573,96242,385,249,13022,33
SARMIENTO,GO,2023-07-19,5816,60423,242,249,8175,33
SARMIENTO,GO,2023-07-20,6168,88013,352,249,11909,33
SARMIENTO,GO,2023-07-21,6441,68013,272,249,9202,33
SARMIENTO,GO,2023-07-22,6708,66701,267,249,9025,33
SARMIENTO,GO,2023-07-23,6837,32230,129,249,4361,33
SARMIENTO,GO,2023-07-24,7088,62624,251,249,8473,33
SARMIENTO,GO,2023-07-25,7355,66511,266,249,8999,33
SARMIENTO,GO,2023-07-26,7659,75942,304,249,10275,33
SARMIENTO,GO,2023-07-27,7826,41609,166,249,5630,33
SARMIENTO,GO,2023-07-28,8251,106084,425,249,14354,33
SARMIENTO,GO,2023-07-29,8539,71728,287,249,9705,33
